id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1439,Lauderdale-by-the-Sea,26.1871356964,-80.0930328369,,,,,,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
39558,key west,25.0811757102,-80.4536962509,,,,,,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
77798,"Bonaire, Netherlands Antilles",12.167548388,-68.2876518973,61,,,,61,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
87129,"Bonaire, Netherlands Antilles",12.1551573259,-68.2811032445,336,,,,336,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
87160,"Bonaire, Netherlands Antilles",12.1644192915,-68.2883130197,315,,,,315,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
90547,"Bonaire, Netherlands Antilles",12.2161903471,-68.3470523913,,,,,,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
90594,"Bonaire, Netherlands Antilles",12.0830824327,-68.2826862007,93,,,,93,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
96675,"Layton, FL",24.8240255,-80.8136783,933,,,,933,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
100672,Cancun Beach,21.132562965,-86.7424249649,,,,,,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
101126,"Saba, Caribbean Netherlands",17.6432004903,-63.218990597,63,,,,63,,open,false,,,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
104519,"Saba, Caribbean Netherlands",17.6459338579,-63.2548206176,125,,,,125,,open,false,,,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
144100,Belize,17.4245660213,-87.8233641113,182481,,,,182481,,open,false,,manual,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
151331,"Bocas del Toro, Panama",9.3421966461,-82.2100925446,1048,,,,1048,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
156566,"Bocas del Toro, Panama",9.2661347078,-82.1873474121,23107,,,,23107,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
170904,"Bocas Del Toro, Bocas Del Toro, Bocas Del Toro, PA",9.3400319716,-82.2398338523,102,,,,102,,open,false,,manual,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
219390,"Bonaire, Netherlands Antilles",12.211317463,-68.331363849,188,,,,188,,open,false,,"",Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
219457,"Bonaire, Netherlands Antilles",12.1678381051,-68.2879086508,55,,,,55,,open,false,,,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
223079,"Cudjoe Key, FL",24.6848729,-81.407997,1971,,,,1971,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
317324,"Layton, Florida",24.824026,-80.813678,933,,,,933,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
326243,"Toledo, belize",16.773644,-88.084946,1997,,,,1997,,open,false,,manual,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
334530,Looe Key,24.548481,-81.405914,15793,,,,15793,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
375032,Biscayne National Park,25.457535,-80.314178,3782,,,,3782,,open,false,,,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
407337,Sombrero Marine Sanctuary,24.627818,-81.1108,15783,,,,15783,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
438737,"Saba, Caribbean Netherlands",17.62929,-63.260811,77,,,,77,,open,false,,manual,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
443181,"Saba, Caribbean Netherlands",17.616284,-63.258618,77,,,,77,,open,false,,manual,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
463651,"Saba, Caribbean Netherlands",17.618063,-63.260219,40,,,,40,,open,false,,manual,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
464629,"Saba, Caribbean Netherlands",17.616263,-63.258725,38,,,,38,,open,false,,manual,Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
494432,"Culebra, Puerto Rico, US",18.318395,-65.289415,10000,,,,10000,,open,false,,manual,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
568222,"culebra, puerto rico",18.303012,-65.300991,2097,,,,2097,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
677241,"Arrecife Alacranes, Progreso, MX-YU, MX",22.385975,-89.696508,30,,,,30,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
686095,Isla de Sacrificios Veracruz,19.1752,-96.092083,233,,,,233,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
750454,Cancún,21.186066,-86.761723,4476,,,,4476,,open,false,,,Atlantic Sergeant Major,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,49402
